Time,Gold_Price_VN (Triệu/lượng),CPI_VN (%),Gold_Price_World (USD/oz),Oil_Price (USD/Thùng),Tỷ giá USD/VND (VNĐ),SX_CN,VN-Index,CPI_USA (%),SM_M2 (Tỷ đồng),INTEREST_RATE (%),GSI (%),GSI_VN,Gold_Price_Lag1,Gold_Price_7D_MA,Gold_Price_Pct_Change
2010-01-07,0.01671035386631714,0.9952153110047818,0.05301117922827259,0.7293933156914634,0.0019985724482514122,0.35632183908045983,0.15127127970067272,0.23809523809523808,0.0,0.9252427184466021,0.9137567233411625,0.14386419515702242,0.01507208387942327,0.011208812214761887,0.1481625613327965
2010-01-08,0.014252948885976335,0.9952153110047818,0.05071632298462447,0.7315495442516907,0.0012847965738758127,0.35632183908045983,0.13936708739629283,0.23809523809523808,0.0,0.920388349514563,0.9137567233411625,0.14386419515702242,0.01671035386631714,0.011519438006260263,0.12491210668137342
2010-01-09,0.015891218872870205,0.9952153110047818,0.05071632298462447,0.7315495442516907,0.0012847965738758127,0.35632183908045983,0.13936708739629283,0.23809523809523808,0.0,0.920388349514563,0.9137567233411625,0.14386419515702242,0.014252948885976335,0.012069006714295893,0.14817993164652948
2010-01-10,0.015891218872870205,0.9952153110047818,0.05071632298462447,0.7315495442516907,0.0012847965738758127,0.35632183908045983,0.13936708739629283,0.23809523809523808,0.0,0.920388349514563,0.9137567233411625,0.14386419515702242,0.015891218872870205,0.012616185993166218,0.1388416509836822
2010-01-11,0.019986893840104825,0.9952153110047818,0.06792774481198571,0.7230226403998825,0.0012847965738758127,0.35632183908045983,0.13377862412799874,0.23809523809523808,0.0,0.9349514563106796,0.9137567233411625,0.14386419515702242,0.015891218872870205,0.013619746242622632,0.16210066232644027
2010-01-12,0.02015072083879421,0.9952153110047818,0.0667803166901616,0.7041066353033423,0.0012847965738758127,0.35632183908045983,0.11775006937732652,0.23809523809523808,0.0,0.9456310679611653,0.9137567233411625,0.14386419515702242,0.019986893840104825,0.014169314950658263,0.13976345403807575
2010-01-13,0.015891218872870205,0.9952153110047818,0.05104415959085984,0.6996961677937862,0.0012847965738758127,0.35632183908045983,0.1276064343881877,0.23809523809523808,0.0,0.9495145631067963,0.9137567233411625,0.14386419515702242,0.02015072083879421,0.01428878640892689,0.11488358616283285
2010-01-14,0.015891218872870205,0.9952153110047818,0.05825656492803988,0.6950896795060277,0.0012847965738758127,0.35632183908045983,0.13116620893579967,0.23809523809523808,0.0,0.9427184466019418,0.9137567233411625,0.14386419515702242,0.015891218872870205,0.014169314950658207,0.1388416509836822
2010-01-15,0.01507208387942327,0.9952153110047818,0.051535914500213,0.6829363912574734,0.0,0.35632183908045983,0.12455383202074621,0.23809523809523808,0.0,0.9223300970873787,0.9137567233411625,0.14386419515702242,0.015891218872870205,0.01428878640892689,0.13418984871513054
2010-01-16,0.014416775884665778,0.9952153110047818,0.051535914500213,0.6829363912574734,0.0,0.35632183908045983,0.12455383202074621,0.23809523809523808,0.0,0.9223300970873787,0.9137567233411625,0.14386419515702242,0.01507208387942327,0.01407373778404336,0.13511328684403653
2010-01-17,0.014416775884665778,0.9952153110047818,0.051535914500213,0.6829363912574734,0.0,0.35632183908045983,0.12455383202074621,0.23809523809523808,0.0,0.9223300970873787,0.9137567233411625,0.14386419515702242,0.014416775884665778,0.013858689159159832,0.1388416509836822
2010-01-18,0.014744429882044496,0.9952153110047818,0.05579779038127397,0.6829363912574734,0.0012847965738758127,0.35632183908045983,0.10705160716165396,0.23809523809523808,0.0,0.9446601941747572,0.9137567233411625,0.14386419515702242,0.014416775884665778,0.013094071826240616,0.140708611268214
2010-01-19,0.014908256880733939,0.9952153110047818,0.05481428056256754,0.6915613054983829,0.0012847965738758127,0.35632183908045983,0.1150706691801992,0.23809523809523808,0.0,0.9291262135922329,0.9137567233411625,0.14386419515702242,0.014744429882044496,0.012329454493321457,0.1397744360551054
2010-01-20,0.014089121887287004,0.9952153110047818,0.0464544471035635,0.6868568068215231,0.0019985724482514122,0.35632183908045983,0.10931952804279382,0.23809523809523808,0.0,0.9436893203883496,0.9137567233411625,0.14386419515702242,0.014908256880733939,0.012066617285130588,0.13417946136358178
2010-01-21,0.010484927916120546,0.9952153110047818,0.03858636855391273,0.6622561991571108,0.0012847965738758127,0.35632183908045983,0.09871675869130442,0.23809523809523808,0.0,0.9582524271844661,0.9137567233411625,0.14386419515702242,0.014089121887287004,0.011278105660557647,0.11828977348908065
2010-01-22,0.006880733944954087,0.9952153110047818,0.022686293151493286,0.6449083602861904,0.0012847965738758127,0.35632183908045983,0.09792250791858448,0.23809523809523808,0.0,0.9456310679611653,0.9137567233411625,0.14386419515702242,0.010484927916120546,0.010083391077871484,0.11811979555491436
2010-01-23,0.007536041939711635,0.9952153110047818,0.022686293151493286,0.6449083602861904,0.0012847965738758127,0.35632183908045983,0.09792250791858448,0.23809523809523808,0.0,0.9456310679611653,0.9137567233411625,0.14386419515702242,0.006880733944954087,0.00907983082841507,0.1426406816157401
2010-01-24,0.007536041939711635,0.9952153110047818,0.022686293151493286,0.6449083602861904,0.0012847965738758127,0.35632183908045983,0.09792250791858448,0.23809523809523808,0.0,0.9456310679611653,0.9137567233411625,0.14386419515702242,0.007536041939711635,0.008076270578958655,0.1388416509836822
2010-01-25,0.008846657929226731,0.9952153110047818,0.030062616791790897,0.6561795550328335,0.0012847965738758127,0.35632183908045983,0.10109951100946402,0.23809523809523808,0.0,0.9436893203883496,0.9137567233411625,0.14386419515702242,0.007536041939711635,0.007216076079424649,0.14642820874853243
